,subj_idx,date,time,trialtype,cue,response,side,error,rt,reward,iti,sex,sess
0,JK07,03-15,13.102,S,8,1,L,0,0.5739999999999981,1.686,13.1,M,1
1,JK07,03-15,24.932,S,8,1,L,0,0.8120000000000012,1.3840000000000003,11.829999999999998,M,1
2,JK07,03-15,34.608,D,8,1,R,0,0.8100000000000023,1.0679999999999978,9.675999999999998,M,1
3,JK07,03-15,41.386,S,2,0,R,0,0.5619999999999976,0.9500000000000028,6.778000000000006,M,1
4,JK07,03-15,48.048,S,2,0,R,0,0.9420000000000002,1.083999999999996,6.661999999999999,M,1
5,JK07,03-15,53.988,S,8,1,R,0,0.4879999999999995,0.8539999999999992,5.939999999999998,M,1
6,JK07,03-15,59.636,S,2,0,L,0,0.4099999999999966,1.0080000000000098,5.648000000000003,M,1
7,JK07,03-15,68.994,S,2,0,R,0,0.3940000000000054,1.093999999999994,9.357999999999995,M,1
8,JK07,03-15,75.584,D,2,0,L,0,0.5480000000000018,1.034000000000006,6.590000000000003,M,1
9,JK07,03-15,84.208,S,2,0,L,0,0.4759999999999991,1.3079999999999927,8.623999999999995,M,1
10,JK07,03-15,90.638,D,8,1,R,0,0.3559999999999945,1.3859999999999957,6.430000000000007,M,1
11,JK07,03-15,98.766,S,2,0,L,0,0.382000000000005,1.23599999999999,8.128,M,1
12,JK07,03-15,107.412,S,2,0,L,0,0.597999999999999,1.5859999999999983,8.646,M,1
13,JK07,03-15,114.994,D,8,1,L,0,0.8579999999999899,0.8239999999999981,7.581999999999994,M,1
14,JK07,03-15,121.218,D,8,1,R,0,0.4839999999999946,1.1779999999999973,6.224000000000004,M,1
15,JK07,03-15,127.052,D,2,0,L,0,0.6640000000000157,1.1459999999999866,5.834000000000003,M,1
16,JK07,03-15,135.97,D,8,1,L,0,0.8160000000000025,1.329999999999984,8.917999999999992,M,1
17,JK07,03-15,141.392,S,2,0,L,0,0.5300000000000011,1.1259999999999764,5.421999999999997,M,1
18,JK07,03-15,148.22,S,8,1,L,0,0.4639999999999986,1.5759999999999934,6.828000000000003,M,1
