,subj_idx,date,time,trialtype,cue,response,side,error,rt,reward,iti,sess,sex
0,BG01,03-14,113.854,D,2,0,R,0,0.677999999999997,2.336,38.588,1,F
1,BG01,03-14,133.106,S,8,1,R,1,0.404000000000025,0,19.252,1,F
2,BG01,03-14,148.54,D,8,1,R,0,0.798000000000002,1.15800000000002,15.434,1,F
3,BG01,03-14,162.346,D,8,1,R,0,0.370000000000005,1.15000000000001,13.806,1,F
4,BG01,03-14,171.404,S,2,0,R,0,0.504000000000019,1.08199999999999,9.05799999999999,1,F
5,BG01,03-14,211.652,S,2,0,R,0,0.400000000000006,1.60999999999999,14.442,1,F
6,BG01,03-14,217.968,D,8,1,R,0,0.424000000000007,1.16,6.316,1,F
7,BG01,03-14,224.504,S,8,1,L,0,0.828000000000003,1.11199999999999,6.536,1,F
8,BG01,03-14,232.632,D,8,1,R,0,0.573999999999984,0.970000000000027,8.12800000000001,1,F
9,BG01,03-14,238.848,S,2,0,L,0,0.861999999999995,1.154,6.21600000000001,1,F
10,BG01,03-14,254.734,D,8,1,R,0,0.323999999999984,1.04200000000003,9.60000000000003,1,F
11,BG01,03-14,260.122,D,2,0,L,0,0.340000000000032,1.02799999999996,5.38800000000001,1,F
12,BG01,03-14,270.662,D,8,1,R,0,0.268000000000029,0.949999999999989,10.54,1,F
13,BG01,03-14,283.786,S,2,0,R,0,0.699999999999989,1.11000000000001,13.124,1,F
14,BG01,03-14,293.122,S,2,0,L,0,0.503999999999962,1.18400000000003,9.33600000000001,1,F
15,BG01,03-14,308.624,D,2,0,L,0,0.354000000000042,1.30399999999997,15.502,1,F
16,BG01,03-14,350.69,D,2,0,L,0,0.325999999999965,1.32400000000001,42.066,1,F
17,BG01,03-14,393.904,D,8,1,L,0,0.490000000000009,1.74599999999998,43.214,1,F
18,BG01,03-14,421.376,D,8,1,L,0,1.13999999999999,4.49000000000001,27.472,1,F
19,BG01,03-14,442.786,D,8,1,L,0,0.408000000000015,1.24400000000003,21.41,1,F
20,BG01,03-14,452.326,S,2,0,L,0,0.367999999999995,1.39600000000002,9.54000000000002,1,F
21,BG01,03-14,460.706,S,8,1,R,1,0.343999999999994,0,8.38,1,F
22,BG01,03-14,473.334,S,8,1,R,1,0.333999999999946,0,12.628,1,F
23,BG01,03-14,525.414,S,2,0,L,0,0.59800000000007,1.70399999999995,32.706,1,F
24,BG01,03-14,544.698,S,8,1,L,0,0.344000000000051,1.404,19.284,1,F
25,BG01,03-14,677.682,D,8,1,R,0,0.642000000000053,1.16999999999996,32.364,1,F
26,BG01,03-14,708.246,D,8,1,L,0,0.488000000000056,1.44600000000003,30.564,1,F
27,BG01,03-14,825.498,D,8,1,R,0,0.519999999999982,1.64199999999994,7.90600000000006,1,F
28,BG01,03-14,833.184,S,2,0,L,0,0.488000000000056,1.28800000000001,7.68599999999992,1,F
